Date,High,Low
200709251,84,53
200709261,87,57
200709271,75,55
200709281,66,54
200709291,73,52
200709301,75,48
200710011,71,57
200710021,81,53
200710031,73,54
200710041,69,55
200710051,64,50
200710061,73,45
200710071,77,46
200710081,79,53
200710091,72,53
200710101,69,54
200710111,70,48
200710121,64,54
200710131,70,53
200710141,66,51
200710151,68,52
200710161,66,52
200710171,66,50
200710181,73,50
200710191,72,57
200710201,66,54
200710211,73,51
200710221,81,51
200710231,84,53
200710241,79,55
200710251,66,53
200710261,68,46
200710271,66,52
200710281,75,52
200710291,63,55
200710301,63,53
200710311,63,54
200711011,66,53
200711021,77,50
200711031,80,48
200711041,77,48
200711051,66,48
200711061,62,52
200711071,61,48
200711081,59,53
200711091,63,48
200711101,66,48
200711111,63,48
200711121,68,44
200711131,72,51
200711141,75,55
200711151,69,51
200711161,63,55
200711171,66,51
200711181,64,53
200711191,66,48
200711201,63,46
200711211,64,43
200711221,64,37
200711231,70,37
200711241,60,37
200711251,60,46
200711261,63,42
200711271,63,45
200711281,64,46
200711291,62,41
200711301,55,42
200712011,57,37
200712021,61,45
200712031,66,50
200712041,61,54
200712051,60,50
200712061,57,48
200712071,55,45
200712081,53,42
200712091,57,39
200712101,57,39
200712111,57,41
200712121,55,35
200712131,59,34
200712141,55,34
200712151,55,39
200712161,55,43
200712171,57,48
200712181,57,43
200712191,59,41
200712201,55,43
200712211,53,39
200712221,53,32
200712231,55,37
200712241,57,45
200712251,57,37
200712261,53,43
200712271,48,37
200712281,48,43
200712291,57,44
200712301,52,43
200712311,57,42

